etid,status
3171,1
3490,0
3176,0
3177,1
4617,1
3192,1
46634,1
3193,1
5406,1
3196,0
3206,1
4301,1
3240,1
3242,1
4742,1
3274,1
3749,1
3830,1
399201,1
3253,1
3720,1
3255,1
3264,1
73727,1
195731,1
3885,1
389411,4
3278,1
3960,1
3613,1
4094,1
4373,0
4489,0
3287,1
3293,1
3303,1
3902,0
4081,1
2014,0
2015,0
2203,1
2404,1
3117,1
2465,0
2362,0
2434,0
144521,0
4298,1
4430,1
3920,1
4026,1
37065,1
3325,0
4575,1
3432,1
7587,1
3758,1
5045,1
7719,1
3736,1
3332,1
3333,1
4097,1
3951,1
4442,1
3744,0
3970,1
3967,1
6209,1
3352,1
3351,1
3357,1
3361,1
3362,1
3365,1
3375,1
4706,1
4036,0
244066,1
3384,1
3385,1
3387,1
4210,1
476616,6
3397,0
3398,1
4178,1
3399,0
3400,1
5779,1
3403,0
4700,1
3405,1
3612,1
185386,0
4084,1
4423,1
4607,1
4445,1
4619,1
4415,1
4343,1
5020,1
3946,0
3609,1
4001,1
3415,1
6172,0
134991,0
313596,0
367936,0
2233,1
3945,1
3416,0
3417,0
3419,0
3424,0
4154,0
3806,1
4602,1
7962,1
478921,6
6260,1
4214,1
4157,0
4437,0
299466,1
4385,0
3862,1
5436,1
6184,1
5129,0
3461,0
3463,1
4123,1
3976,1
311826,0
61658,1
154916,1
3489,2
3341,0
5778,1
3999,1
3882,1
3991,1
192381,1
3501,0
2263,1
158591,1
5141,0
2945,1
3751,1
3202,0
4638,0
3691,0
3519,1
4715,1
3521,0
3522,0
4526,1
47277,1
4187,0
4037,1
6366,1
100171,3
3252,0
3989,1
4935,1
4061,1
412371,1
3851,1
59133,1
399366,1
4141,0
3834,1
22935,1
4259,1
4472,1
3549,0
4612,1
13642,1
398396,1
398401,1
398406,1
4262,1
3842,1
4040,1
3553,0
3554,0
6061,1
4812,1
4134,1
4500,0
3564,1
3937,0
3524,1
3950,1
4045,1
3573,1
3576,1
3577,0
4170,1
3515,0
4565,1
4111,1
6820,1
4998,1
3954,0
4246,1
185711,1
191981,1
4258,0
3988,0
4657,0
5003,0
3588,1
3590,1
3591,0
3593,1
3980,0
4570,1
6922,1
351621,3
3880,1
4242,1
4466,0
6374,1
3597,0
4219,1
3602,0
5027,1
5059,1
4067,0
5612,1
4722,1
6397,1
5802,1
3620,0
3628,1
4564,1
3635,1
4504,0
4188,1
7164,1
5381,1
132911,1
4573,1
5883,1
4161,1
5430,1
2407,1
3665,1
5384,1
3066,1
5030,1
142541,1
7217,1
3674,1
4406,1
3658,1
7289,1
4683,1
3478,1
192721,1
3690,1
3692,1
3808,0
5258,1
3699,1
4672,1
3863,1
3710,0
3712,1
4621,1
4541,0
3841,1
3724,0
4540,1
4711,0
389406,4
3732,1
3738,1
3740,1
2487,0
4830,0
3767,1
71474,1
183331,1
411991,1
475176,6
4660,1
3746,1
389401,4
4018,0
4737,1
5257,1
3769,1
4725,1
3766,0
355431,0
4507,1
324421,0
4749,1
4818,0
4974,1
20457,1
160091,1
3799,1
5985,1
14431,1
3797,1
5377,0
3777,0
4887,1
7420,1
4156,0
3780,1
4147,1
5098,1
5485,1
4705,1
4095,1
249986,1
3811,1
4085,1
4029,1
3837,0
4391,0
3067,0
3855,1
3997,1
4332,1
4155,0
4888,1
4680,1
3846,1
3849,0
3850,1
3955,1
3852,0
4721,1
3872,1
3623,1
4596,1
5154,1
4678,1
7212,0
4017,1
4561,1
4225,1
4387,1
4386,1
6549,1
4292,0
4484,1
45839,1
4613,1
3936,0
5935,0
6649,1
4717,0
5627,0
357011,0
393946,0
393956,0
393951,2
5117,1
4666,1
4394,1
4835,0
4603,0
5271,0
4719,0
6969,0
121481,0
6231,1
4491,0
2897,1
4633,1
389396,4
4028,1
4653,1
5029,0
5495,1
4256,0
4587,1
6371,1
5423,1
4670,0
4578,1
476376,6
4652,1
4475,1
6092,1
4627,1
4559,1
6985,1
5331,0
4550,1
4216,0
4713,1
5460,1
3917,0
389391,4
3919,1
5007,0
3921,0
3922,1
3923,0
3925,1
5558,0
4703,1
4139,0
3931,1
3932,1
3933,1
4089,0
3942,1
389386,0
3953,1
3956,2
4131,1
4685,1
3984,0
425136,1
329266,5
6383,1
3993,0
3992,0
3998,0
4006,0
6210,1
4010,1
4416,1
4016,0
231781,1
4421,1
5371,0
4892,0
4325,1
4758,1
227771,1
4309,1
4138,1
5431,1
4829,1
389381,4
4044,0
262536,1
7642,1
4771,1
4074,1
4077,1
4487,0
5626,1
4488,1
5435,1
4114,0
4115,1
4882,1
7947,1
4823,0
5510,1
5569,1
4124,1
6783,1
4102,0
4606,1
6646,1
4222,0
43917,1
5726,1
3509,1
3654,1
4580,1
4117,1
4110,0
5270,1
7163,1
4751,0
4849,1
3996,1
7026,1
4963,1
4761,0
4383,1
10853,1
135531,1
138071,1
208751,1
3183,0
7086,1
4976,1
5264,1
6199,1
5095,1
4524,0
4408,1
4174,1
4486,0
350516,3
5143,1
6546,1
4194,1
4101,0
4195,1
6685,1
4426,1
6192,0
9317,0
4126,0
4235,1
6815,1
4634,1
4833,0
389376,4
4241,0
71222,0
4684,1
4567,1
4245,0
4247,1
4447,1
188101,1
5722,1
4253,1
8792,1
4254,1
4257,0
6944,1
4294,1
4249,1
5898,1
7132,1
4635,1
4271,1
4435,0
359001,0
4275,1
5246,1
5099,0
6132,0
4279,1
4281,0
4315,1
4280,1
4282,1
4600,1
6211,1
4642,0
4092,1
4287,0
4630,0
419226,1
492292,1
4899,1
5173,0
4714,1
4290,0
6857,1
173701,1
4779,1
4860,1
5128,1
4304,1
3898,1
4314,1
4778,1
6032,1
5167,1
7198,1
4886,1
50884,1
5871,1
4317,1
4465,1
322866,4
4321,1
297781,4
5901,1
4817,1
5864,0
2868,0
4954,0
4360,1
5945,0
4372,1
4378,0
4285,0
34713,0
477851,1
5692,1
4342,1
3495,0
4505,1
5208,1
5219,1
7165,1
4966,0
5868,1
4436,0
4130,1
4662,0
4248,0
6945,1
4267,0
6003,1
5997,0
12321,1
4456,1
6020,1
4925,0
4525,1
4586,1
6687,0
5137,1
5618,1
182021,1
5334,0
301456,2
75688,0
5152,1
7308,1
4467,1
4866,1
5573,0
5696,1
375771,1
4986,1
4148,1
2850,1
66837,1
5357,1
2905,1
4501,1
14520,1
4873,1
145601,1
4502,0
4975,1
6026,1
300191,0
5083,1
300201,1
5214,1
4729,1
5073,1
4511,0
4510,1
4512,0
4515,0
5355,0
4520,0
5318,1
5047,1
4277,1
4777,1
5252,0
4537,0
4168,1
7436,0
4885,0
4543,1
4710,1
4597,1
4589,1
4583,1
4591,1
5039,0
5130,1
5299,1
4618,1
3571,1
4964,1
4270,1
4620,2
5856,1
4989,0
3854,1
4639,1
4640,1
6215,1
5210,1
7584,1
4410,1
7191,0
6124,0
5147,0
5308,1
4948,1
4813,1
191096,1
202856,1
202291,3
5012,1
5134,1
5018,1
2080,1
475161,6
6308,1
4669,1
4675,0
4690,1
5712,0
6190,1
5004,1
5090,1
6202,1
5405,1
5775,0
4691,1
6819,1
4738,1
4093,1
4938,1
5456,1
5471,1
6039,1
5275,1
7405,1
5248,0
4755,1
3700,0
4757,0
5213,1
3789,1
6197,1
6014,1
1884,1
1897,1
5220,0
459781,4
6205,1
2691,1
6257,1
4793,1
4796,1
320066,0
5182,1
4807,1
4808,1
389371,4
5177,1
7313,1
7590,1
4822,1
4825,0
7111,0
4928,1
2657,1
4293,1
4831,1
5201,1
4838,1
5218,1
10858,1
5530,1
4847,0
4850,0
4851,1
8941,1
4113,1
4852,0
4599,1
6259,1
4163,0
5244,0
3726,0
6194,1
4697,1
5251,1
5693,1
4867,1
4868,0
4870,0
6149,1
2669,1
6471,1
5002,1
4876,1
5836,1
5986,1
5672,1
5190,1
6148,1
6058,1
4960,1
5533,1
4978,1
3024,1
4890,0
5549,1
4901,0
5378,1
5948,1
5034,1
4912,0
55402,0
301741,1
5543,1
5382,1
7574,1
5421,1
6599,1
5412,0
366641,0
4929,1
5361,1
4934,0
5537,1
5915,1
5768,1
4367,1
5582,0
5374,1
6087,1
4956,0
5222,0
5175,1
5994,1
4965,1
4973,1
4979,1
375231,1
5714,1
163771,1
137476,1
4996,1
4999,1
5000,0
7125,1
5843,0
193926,1
327546,1
5006,1
5010,1
5226,1
7673,1
40909,1
6998,1
5442,1
2255,0
5689,1
5720,1
5024,1
6122,1
5066,1
5938,1
5688,1
5614,1
5065,1
9098,1
27058,1
5907,1
4902,1
15910,1
5759,1
5757,1
6682,1
5049,1
6368,1
3589,0
5538,1
6538,1
280011,1
5060,1
2994,1
20020,1
5691,0
5541,1
5230,0
6187,1
6868,1
7644,1
6052,1
5860,1
6627,1
5067,1
5070,1
5071,1
5072,1
5521,0
5648,0
5288,1
7108,1
5503,0
6429,1
6982,1
5091,0
5103,1
5506,0
5913,1
5110,0
6100,1
5140,0
5724,1
3345,1
265176,0
286726,1
5151,0
7670,1
6067,1
5828,0
389366,4
5893,1
5761,1
6584,1
6307,1
3103,0
6363,1
5534,1
6348,0
6542,1
7672,1
3229,0
5467,1
5180,1
5835,1
6588,1
6486,1
5694,1
6577,1
6350,1
5388,1
5504,1
5185,1
6863,1
5934,0
